concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
2000001040	2000001041	Subsumes	1970-01-01	2099-12-31	
2000001041	2000001040	Is a	1970-01-01	2099-12-31	
2000001041	2000001042	Subsumes	1970-01-01	2099-12-31	
2000001042	2000001041	Is a	1970-01-01	2099-12-31	
2000001041	2000001046	Subsumes	1970-01-01	2099-12-31	
2000001046	2000001041	Is a	1970-01-01	2099-12-31	
2000001041	2000001064	Subsumes	1970-01-01	2099-12-31	
2000001064	2000001041	Is a	1970-01-01	2099-12-31	
2000001041	2000001069	Subsumes	1970-01-01	2099-12-31	
2000001069	2000001041	Is a	1970-01-01	2099-12-31	
2000001041	2000001101	Subsumes	1970-01-01	2099-12-31	
2000001101	2000001041	Is a	1970-01-01	2099-12-31	
2000001041	2000001112	Subsumes	1970-01-01	2099-12-31	
2000001112	2000001041	Is a	1970-01-01	2099-12-31	
2000001041	2000001139	Subsumes	1970-01-01	2099-12-31	
2000001139	2000001041	Is a	1970-01-01	2099-12-31	
2000001139	2000001143	Subsumes	1970-01-01	2099-12-31	
2000001143	2000001139	Is a	1970-01-01	2099-12-31	
2000001139	2000001170	Subsumes	1970-01-01	2099-12-31	
2000001170	2000001139	Is a	1970-01-01	2099-12-31	
2000001139	2000001193	Subsumes	1970-01-01	2099-12-31	
2000001193	2000001139	Is a	1970-01-01	2099-12-31	
2000001193	2000001194	Subsumes	1970-01-01	2099-12-31	
2000001194	2000001193	Is a	1970-01-01	2099-12-31	
2000001193	2000001205	Subsumes	1970-01-01	2099-12-31	
2000001205	2000001193	Is a	1970-01-01	2099-12-31	
2000001205	2000001207	Subsumes	1970-01-01	2099-12-31	
2000001207	2000001205	Is a	1970-01-01	2099-12-31	
2000001205	2000001211	Subsumes	1970-01-01	2099-12-31	
2000001211	2000001205	Is a	1970-01-01	2099-12-31	
2000001139	2000001218	Subsumes	1970-01-01	2099-12-31	
2000001218	2000001139	Is a	1970-01-01	2099-12-31	
2000001139	2000001259	Subsumes	1970-01-01	2099-12-31	
2000001259	2000001139	Is a	1970-01-01	2099-12-31	
2000001139	2000001282	Subsumes	1970-01-01	2099-12-31	
2000001282	2000001139	Is a	1970-01-01	2099-12-31	
2000001139	2000001291	Subsumes	1970-01-01	2099-12-31	
