concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
2000000806	2000000805	Is a	2004-07-01	2020-12-31	D
2000000807	2000000805	Is a	2004-07-01	2020-12-31	D
2000000808	2000000805	Is a	2004-07-01	2020-12-31	D
2000000809	2000000805	Is a	2004-07-01	2020-12-31	D
2000000810	2000000805	Is a	2004-07-01	2020-12-31	D
2000000805	2000000806	Subsumes	2004-07-01	2020-12-31	D
2000000805	2000000807	Subsumes	2004-07-01	2020-12-31	D
2000000805	2000000808	Subsumes	2004-07-01	2020-12-31	D
2000000805	2000000809	Subsumes	2004-07-01	2020-12-31	D
2000000805	2000000810	Subsumes	2004-07-01	2020-12-31	D
2000000812	2000000811	Is a	2004-07-01	2020-12-31	D
2000000813	2000000811	Is a	2004-07-01	2020-12-31	D
2000000814	2000000811	Is a	2004-07-01	2020-12-31	D
2000000815	2000000811	Is a	2004-07-01	2020-12-31	D
2000000816	2000000811	Is a	2004-07-01	2020-12-31	D
2000000817	2000000811	Is a	2004-07-01	2020-12-31	D
2000000818	2000000811	Is a	2004-07-01	2020-12-31	D
2000000811	2000000812	Subsumes	2004-07-01	2020-12-31	D
2000000811	2000000813	Subsumes	2004-07-01	2020-12-31	D
2000000811	2000000814	Subsumes	2004-07-01	2020-12-31	D
2000000811	2000000815	Subsumes	2004-07-01	2020-12-31	D
2000000811	2000000816	Subsumes	2004-07-01	2020-12-31	D
2000000811	2000000817	Subsumes	2004-07-01	2020-12-31	D
2000000811	2000000818	Subsumes	2004-07-01	2020-12-31	D
2000000820	2000000819	Is a	2004-07-01	2020-12-31	D
2000000821	2000000819	Is a	2004-07-01	2020-12-31	D
2000000822	2000000819	Is a	2004-07-01	2020-12-31	D
2000000819	2000000820	Subsumes	2004-07-01	2020-12-31	D
2000000819	2000000821	Subsumes	2004-07-01	2020-12-31	D
2000000819	2000000822	Subsumes	2004-07-01	2020-12-31	D
2000000824	2000000823	Is a	2004-07-01	2020-12-31	D
