concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason	
2000000081	2000000080	Is a	1970-01-01	2099-12-31		
2000000082	2000000080	Is a	1970-01-01	2099-12-31		
2000000083	2000000080	Is a	1970-01-01	2099-12-31		
2000000084	2000000080	Is a	1970-01-01	2099-12-31		
2000000085	2000000080	Is a	1970-01-01	2099-12-31		
2000000086	2000000080	Is a	1970-01-01	2099-12-31		
2000000087	2000000080	Is a	1970-01-01	2099-12-31		
2000000088	2000000080	Is a	1970-01-01	2099-12-31		
2000000080	2000000081	Subsumes	1970-01-01	2099-12-31		
2000000080	2000000082	Subsumes	1970-01-01	2099-12-31		
2000000080	2000000083	Subsumes	1970-01-01	2099-12-31		
2000000080	2000000084	Subsumes	1970-01-01	2099-12-31		
2000000080	2000000085	Subsumes	1970-01-01	2099-12-31		
2000000080	2000000086	Subsumes	1970-01-01	2099-12-31		
2000000080	2000000087	Subsumes	1970-01-01	2099-12-31		
2000000080	2000000088	Subsumes	1970-01-01	2099-12-31		
2000000090	2000000089	Is a	1970-01-01	2099-12-31		
2000000091	2000000089	Is a	1970-01-01	2099-12-31		
2000000092	2000000089	Is a	1970-01-01	2099-12-31		
2000000093	2000000089	Is a	1970-01-01	2099-12-31		
2000000094	2000000089	Is a	1970-01-01	2099-12-31		
2000000089	2000000090	Subsumes	1970-01-01	2099-12-31		
2000000089	2000000091	Subsumes	1970-01-01	2099-12-31		
2000000089	2000000092	Subsumes	1970-01-01	2099-12-31		
2000000089	2000000093	Subsumes	1970-01-01	2099-12-31		
2000000089	2000000094	Subsumes	1970-01-01	2099-12-31		
2000000096	2000000095	Is a	1970-01-01	2099-12-31		
2000000097	2000000095	Is a	1970-01-01	2099-12-31		
2000000098	2000000095	Is a	1970-01-01	2099-12-31		
2000000099	2000000095	Is a	1970-01-01	2099-12-31		
2000000100	2000000095	Is a	1970-01-01	2099-12-31		
2000000101	2000000095	Is a	1970-01-01	2099-12-31		
2000000102	2000000095	Is a	1970-01-01	2099-12-31		
2000000103	2000000095	Is a	1970-01-01	2099-12-31		
2000000095	2000000096	Subsumes	1970-01-01	2099-12-31		
2000000095	2000000097	Subsumes	1970-01-01	2099-12-31		
2000000095	2000000098	Subsumes	1970-01-01	2099-12-31		
2000000095	2000000099	Subsumes	1970-01-01	2099-12-31		
2000000095	2000000100	Subsumes	1970-01-01	2099-12-31		
2000000095	2000000101	Subsumes	1970-01-01	2099-12-31		
2000000095	2000000102	Subsumes	1970-01-01	2099-12-31		
2000000095	2000000103	Subsumes	1970-01-01	2099-12-31		
2000000105	2000000104	Is a	1970-01-01	2099-12-31		
2000000106	2000000104	Is a	1970-01-01	2099-12-31		
2000000107	2000000104	Is a	1970-01-01	2099-12-31		
2000000108	2000000104	Is a	1970-01-01	2099-12-31		
2000000109	2000000104	Is a	1970-01-01	2099-12-31		
2000000104	2000000105	Subsumes	1970-01-01	2099-12-31		
2000000104	2000000106	Subsumes	1970-01-01	2099-12-31		
2000000104	2000000107	Subsumes	1970-01-01	2099-12-31		
2000000104	2000000108	Subsumes	1970-01-01	2099-12-31		
2000000104	2000000109	Subsumes	1970-01-01	2099-12-31		
2000000111	2000000110	Is a	1970-01-01	2099-12-31		
2000000112	2000000110	Is a	1970-01-01	2099-12-31		
2000000113	2000000110	Is a	1970-01-01	2099-12-31		
2000000114	2000000110	Is a	1970-01-01	2099-12-31		
2000000115	2000000110	Is a	1970-01-01	2099-12-31		
2000000116	2000000110	Is a	1970-01-01	2099-12-31		
2000000117	2000000110	Is a	1970-01-01	2099-12-31		
2000000118	2000000110	Is a	2022-04-01	2099-12-31		
2000000110	2000000111	Subsumes	1970-01-01	2099-12-31		
