concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
2000005475	2000005474	Is a	1970-01-01	2099-12-31	
2000005474	2000005475	Subsumes	1970-01-01	2099-12-31	
2000005476	2000005475	Is a	2012-01-01	2099-12-31	
2000005477	2000005475	Is a	2012-01-01	2099-12-31	
2000005478	2000005475	Is a	2012-01-01	2099-12-31	
2000005479	2000005475	Is a	2012-01-01	2099-12-31	
2000005480	2000005475	Is a	2012-01-01	2099-12-31	
2000005481	2000005475	Is a	2012-01-01	2099-12-31	
2000005482	2000005475	Is a	2012-01-01	2099-12-31	
2000005483	2000005475	Is a	2012-01-01	2099-12-31	
2000005484	2000005475	Is a	2012-01-01	2099-12-31	
2000005485	2000005475	Is a	2012-01-01	2099-12-31	
2000005486	2000005475	Is a	2012-01-01	2099-12-31	
2000005487	2000005475	Is a	2012-01-01	2099-12-31	
2000005488	2000005475	Is a	2012-01-01	2099-12-31	
2000005489	2000005475	Is a	2012-01-01	2099-12-31	
2000005490	2000005475	Is a	2012-01-01	2099-12-31	
2000005491	2000005475	Is a	2013-01-01	2099-12-31	
2000005492	2000005475	Is a	2014-01-01	2099-12-31	
2000005493	2000005475	Is a	2017-01-01	2099-12-31	
2000005494	2000005475	Is a	2017-01-01	2099-12-31	
2000005495	2000005475	Is a	2017-01-01	2099-12-31	
2000005496	2000005475	Is a	2017-01-01	2099-12-31	
2000005497	2000005475	Is a	2018-01-01	2099-12-31	
2000005498	2000005475	Is a	2018-01-01	2099-12-31	
2000005499	2000005475	Is a	2018-01-01	2099-12-31	
2000005500	2000005475	Is a	2018-01-01	2099-12-31	
2000005501	2000005475	Is a	2018-01-01	2099-12-31	
2000005502	2000005475	Is a	2018-01-01	2099-12-31	
2000005503	2000005475	Is a	2018-01-01	2099-12-31	
2000005504	2000005475	Is a	2018-01-01	2099-12-31	
2000005505	2000005475	Is a	2018-01-01	2099-12-31	
2000005506	2000005475	Is a	2018-01-01	2099-12-31	
2000005507	2000005475	Is a	2018-01-01	2099-12-31	
2000005508	2000005475	Is a	2019-01-01	2099-12-31	
2000005509	2000005475	Is a	2019-01-01	2099-12-31	
2000005510	2000005475	Is a	2020-01-01	2099-12-31	
2000005511	2000005475	Is a	2020-01-01	2099-12-31	
2000005512	2000005475	Is a	2020-01-01	2099-12-31	
2000005513	2000005475	Is a	2012-01-01	2099-12-31	
2000005514	2000005475	Is a	2012-01-01	2099-12-31	
2000005515	2000005475	Is a	2012-01-01	2099-12-31	
2000005516	2000005475	Is a	2012-01-01	2099-12-31	
2000005517	2000005475	Is a	2012-01-01	2099-12-31	
2000005518	2000005475	Is a	2012-01-01	2099-12-31	
2000005519	2000005475	Is a	2012-01-01	2099-12-31	
2000005520	2000005475	Is a	2012-01-01	2099-12-31	
2000005521	2000005475	Is a	2012-01-01	2099-12-31	
2000005522	2000005475	Is a	2012-01-01	2099-12-31	
2000005523	2000005475	Is a	2012-01-01	2099-12-31	
2000005524	2000005475	Is a	2012-01-01	2099-12-31	
2000005525	2000005475	Is a	2012-01-01	2099-12-31	
2000005526	2000005475	Is a	2012-01-01	2099-12-31	
2000005527	2000005475	Is a	2012-01-01	2099-12-31	
2000005528	2000005475	Is a	2012-01-01	2099-12-31	
2000005529	2000005475	Is a	2012-01-01	2099-12-31	
2000005530	2000005475	Is a	2012-01-01	2099-12-31	
2000005531	2000005475	Is a	2012-01-01	2099-12-31	
2000005532	2000005475	Is a	2012-01-01	2099-12-31	
2000005533	2000005475	Is a	2012-01-01	2099-12-31	
2000005534	2000005475	Is a	2012-01-01	2099-12-31	
2000005535	2000005475	Is a	2012-01-01	2099-12-31	
2000005536	2000005475	Is a	2012-01-01	2099-12-31	
2000005537	2000005475	Is a	2012-01-01	2099-12-31	
2000005538	2000005475	Is a	2012-01-01	2099-12-31	
2000005539	2000005475	Is a	2012-01-01	2099-12-31	
2000005540	2000005475	Is a	2012-01-01	2099-12-31	
2000005541	2000005475	Is a	2012-01-01	2099-12-31	
2000005542	2000005475	Is a	2012-01-01	2099-12-31	
2000005543	2000005475	Is a	2012-01-01	2099-12-31	
2000005544	2000005475	Is a	2012-01-01	2099-12-31	
2000005545	2000005475	Is a	2012-01-01	2099-12-31	
2000005546	2000005475	Is a	2012-01-01	2099-12-31	
2000005547	2000005475	Is a	2012-01-01	2099-12-31	
2000005548	2000005475	Is a	2012-01-01	2099-12-31	
2000005549	2000005475	Is a	2012-01-01	2099-12-31	
2000005550	2000005475	Is a	2012-01-01	2099-12-31	
2000005551	2000005475	Is a	2012-01-01	2099-12-31	
2000005552	2000005475	Is a	2012-01-01	2099-12-31	
2000005553	2000005475	Is a	2012-01-01	2099-12-31	
2000005554	2000005475	Is a	2012-01-01	2099-12-31	
2000005555	2000005475	Is a	2012-01-01	2099-12-31	
2000005556	2000005475	Is a	2012-01-01	2099-12-31	
2000005557	2000005475	Is a	2012-01-01	2099-12-31	
2000005558	2000005475	Is a	2012-01-01	2099-12-31	
2000005559	2000005475	Is a	2012-01-01	2099-12-31	
2000005560	2000005475	Is a	2012-01-01	2099-12-31	
2000005561	2000005475	Is a	2012-01-01	2099-12-31	
2000005562	2000005475	Is a	2012-01-01	2099-12-31	
2000005563	2000005475	Is a	2012-01-01	2099-12-31	
2000005564	2000005475	Is a	2012-01-01	2099-12-31	
2000005565	2000005475	Is a	2012-01-01	2099-12-31	
2000005566	2000005475	Is a	2012-01-01	2099-12-31	
2000005567	2000005475	Is a	2012-01-01	2099-12-31	
2000005568	2000005475	Is a	2012-01-01	2099-12-31	
2000005569	2000005475	Is a	2012-01-01	2099-12-31	
2000005570	2000005475	Is a	2012-01-01	2099-12-31	
2000005571	2000005475	Is a	2012-01-01	2099-12-31	
2000005572	2000005475	Is a	2012-01-01	2099-12-31	
2000005573	2000005475	Is a	2012-01-01	2099-12-31	
2000005574	2000005475	Is a	2012-01-01	2099-12-31	
2000005575	2000005475	Is a	2012-01-01	2099-12-31	
2000005576	2000005475	Is a	2012-01-01	2099-12-31	
2000005577	2000005475	Is a	2012-01-01	2099-12-31	
2000005578	2000005475	Is a	2012-01-01	2099-12-31	
2000005579	2000005475	Is a	2012-01-01	2099-12-31	
2000005580	2000005475	Is a	2012-01-01	2099-12-31	
2000005581	2000005475	Is a	2012-01-01	2099-12-31	
2000005582	2000005475	Is a	2012-01-01	2099-12-31	
2000005583	2000005475	Is a	2012-01-01	2099-12-31	
2000005584	2000005475	Is a	2012-01-01	2099-12-31	
2000005585	2000005475	Is a	2012-01-01	2099-12-31	
2000005586	2000005475	Is a	2012-01-01	2099-12-31	
2000005587	2000005475	Is a	2012-01-01	2099-12-31	
2000005588	2000005475	Is a	2012-01-01	2099-12-31	
2000005589	2000005475	Is a	2012-01-01	2099-12-31	
2000005590	2000005475	Is a	2012-01-01	2099-12-31	
2000005591	2000005475	Is a	2012-01-01	2099-12-31	
2000005592	2000005475	Is a	2012-01-01	2099-12-31	
2000005593	2000005475	Is a	2012-01-01	2099-12-31	
2000005594	2000005475	Is a	2012-01-01	2099-12-31	
2000005595	2000005475	Is a	2012-01-01	2099-12-31	
2000005596	2000005475	Is a	2012-01-01	2099-12-31	
2000005597	2000005475	Is a	2012-01-01	2099-12-31	
2000005598	2000005475	Is a	2012-01-01	2099-12-31	
2000005599	2000005475	Is a	2012-01-01	2099-12-31	
2000005600	2000005475	Is a	2012-01-01	2099-12-31	
2000005601	2000005475	Is a	2012-01-01	2099-12-31	
2000005602	2000005475	Is a	2012-01-01	2099-12-31	
2000005603	2000005475	Is a	2012-01-01	2099-12-31	
2000005604	2000005475	Is a	2012-01-01	2099-12-31	
2000005605	2000005475	Is a	2012-01-01	2099-12-31	
2000005606	2000005475	Is a	2012-01-01	2099-12-31	
2000005607	2000005475	Is a	2012-01-01	2099-12-31	
2000005608	2000005475	Is a	2012-01-01	2099-12-31	
2000005609	2000005475	Is a	2012-01-01	2099-12-31	
2000005610	2000005475	Is a	2012-01-01	2099-12-31	
2000005611	2000005475	Is a	2012-01-01	2099-12-31	
2000005612	2000005475	Is a	2012-01-01	2099-12-31	
2000005613	2000005475	Is a	2012-01-01	2099-12-31	
2000005614	2000005475	Is a	2012-01-01	2099-12-31	
2000005615	2000005475	Is a	2012-01-01	2099-12-31	
2000005616	2000005475	Is a	2012-01-01	2099-12-31	
2000005617	2000005475	Is a	2012-01-01	2099-12-31	
2000005618	2000005475	Is a	2012-01-01	2099-12-31	
2000005619	2000005475	Is a	2012-01-01	2099-12-31	
2000005620	2000005475	Is a	2012-01-01	2099-12-31	
2000005621	2000005475	Is a	2012-01-01	2099-12-31	
2000005622	2000005475	Is a	2012-01-01	2099-12-31	
2000005623	2000005475	Is a	2012-01-01	2099-12-31	
2000005624	2000005475	Is a	2012-01-01	2099-12-31	
2000005625	2000005475	Is a	2012-01-01	2099-12-31	
2000005626	2000005475	Is a	2012-01-01	2099-12-31	
2000005627	2000005475	Is a	2012-01-01	2099-12-31	
2000005628	2000005475	Is a	2012-01-01	2099-12-31	
2000005629	2000005475	Is a	2012-01-01	2099-12-31	
2000005630	2000005475	Is a	2012-01-01	2099-12-31	
2000005631	2000005475	Is a	2012-01-01	2099-12-31	
2000005632	2000005475	Is a	2012-01-01	2099-12-31	
2000005633	2000005475	Is a	2012-01-01	2099-12-31	
2000005634	2000005475	Is a	2012-01-01	2099-12-31	
2000005635	2000005475	Is a	2012-01-01	2099-12-31	
2000005636	2000005475	Is a	2012-01-01	2099-12-31	
2000005637	2000005475	Is a	2012-01-01	2099-12-31	
2000005638	2000005475	Is a	2012-01-01	2099-12-31	
2000005639	2000005475	Is a	2012-01-01	2099-12-31	
2000005640	2000005475	Is a	2012-01-01	2099-12-31	
2000005641	2000005475	Is a	2012-01-01	2099-12-31	
2000005642	2000005475	Is a	2012-01-01	2099-12-31	
2000005643	2000005475	Is a	2012-01-01	2099-12-31	
2000005644	2000005475	Is a	2012-01-01	2099-12-31	
2000005645	2000005475	Is a	2012-01-01	2099-12-31	
2000005646	2000005475	Is a	2012-01-01	2099-12-31	
2000005647	2000005475	Is a	2012-01-01	2099-12-31	
2000005648	2000005475	Is a	2012-01-01	2099-12-31	
2000005649	2000005475	Is a	2012-01-01	2099-12-31	
2000005650	2000005475	Is a	2012-01-01	2099-12-31	
2000005651	2000005475	Is a	2012-01-01	2099-12-31	
2000005652	2000005475	Is a	2012-01-01	2099-12-31	
2000005653	2000005475	Is a	2012-01-01	2099-12-31	
2000005654	2000005475	Is a	2012-01-01	2099-12-31	
2000005655	2000005475	Is a	2012-01-01	2099-12-31	
2000005656	2000005475	Is a	2012-01-01	2099-12-31	
2000005657	2000005475	Is a	2012-01-01	2099-12-31	
2000005658	2000005475	Is a	2012-01-01	2099-12-31	
2000005659	2000005475	Is a	2012-01-01	2099-12-31	
2000005660	2000005475	Is a	2012-01-01	2099-12-31	
2000005661	2000005475	Is a	2012-01-01	2099-12-31	
2000005662	2000005475	Is a	2012-01-01	2099-12-31	
2000005663	2000005475	Is a	2012-01-01	2099-12-31	
2000005664	2000005475	Is a	2012-01-01	2099-12-31	
2000005665	2000005475	Is a	2012-01-01	2099-12-31	
2000005666	2000005475	Is a	2012-01-01	2099-12-31	
2000005667	2000005475	Is a	2012-01-01	2099-12-31	
2000005668	2000005475	Is a	2012-01-01	2099-12-31	
2000005669	2000005475	Is a	2012-01-01	2099-12-31	
2000005670	2000005475	Is a	2012-01-01	2099-12-31	
2000005671	2000005475	Is a	2012-01-01	2099-12-31	
2000005672	2000005475	Is a	2012-01-01	2099-12-31	
2000005673	2000005475	Is a	2012-01-01	2099-12-31	
2000005674	2000005475	Is a	2012-01-01	2099-12-31	
2000005675	2000005475	Is a	2012-01-01	2099-12-31	
2000005676	2000005475	Is a	2012-01-01	2099-12-31	
2000005677	2000005475	Is a	2012-01-01	2099-12-31	
2000005678	2000005475	Is a	2012-01-01	2099-12-31	
2000005679	2000005475	Is a	2012-01-01	2099-12-31	
2000005680	2000005475	Is a	2012-01-01	2099-12-31	
2000005681	2000005475	Is a	2012-01-01	2099-12-31	
2000005682	2000005475	Is a	2012-01-01	2099-12-31	
2000005683	2000005475	Is a	2012-01-01	2099-12-31	
2000005684	2000005475	Is a	2012-01-01	2099-12-31	
2000005685	2000005475	Is a	2012-01-01	2099-12-31	
2000005686	2000005475	Is a	2012-01-01	2099-12-31	
2000005687	2000005475	Is a	2012-01-01	2099-12-31	
2000005688	2000005475	Is a	2012-01-01	2099-12-31	
2000005689	2000005475	Is a	2012-01-01	2099-12-31	
2000005690	2000005475	Is a	2012-01-01	2099-12-31	
2000005691	2000005475	Is a	2012-01-01	2099-12-31	
2000005692	2000005475	Is a	2012-01-01	2099-12-31	
2000005693	2000005475	Is a	2012-01-01	2099-12-31	
2000005694	2000005475	Is a	2012-01-01	2099-12-31	
2000005695	2000005475	Is a	2012-01-01	2099-12-31	
2000005696	2000005475	Is a	2012-01-01	2099-12-31	
2000005697	2000005475	Is a	2012-01-01	2099-12-31	
2000005698	2000005475	Is a	2012-01-01	2099-12-31	
2000005699	2000005475	Is a	2012-01-01	2099-12-31	
2000005700	2000005475	Is a	2012-01-01	2099-12-31	
2000005701	2000005475	Is a	2012-01-01	2099-12-31	
2000005702	2000005475	Is a	2012-01-01	2099-12-31	
2000005703	2000005475	Is a	2012-01-01	2099-12-31	
2000005704	2000005475	Is a	2012-01-01	2099-12-31	
2000005705	2000005475	Is a	2012-01-01	2099-12-31	
2000005706	2000005475	Is a	2012-01-01	2099-12-31	
2000005707	2000005475	Is a	2012-01-01	2099-12-31	
2000005708	2000005475	Is a	2012-01-01	2099-12-31	
2000005709	2000005475	Is a	2012-01-01	2099-12-31	
2000005710	2000005475	Is a	2012-01-01	2099-12-31	
2000005711	2000005475	Is a	2012-01-01	2099-12-31	
2000005712	2000005475	Is a	2012-01-01	2099-12-31	
2000005713	2000005475	Is a	2012-01-01	2099-12-31	
2000005714	2000005475	Is a	2018-01-01	2099-12-31	
2000005715	2000005475	Is a	2012-01-01	2099-12-31	
2000005716	2000005475	Is a	2012-01-01	2099-12-31	
2000005717	2000005475	Is a	2012-01-01	2099-12-31	
2000005718	2000005475	Is a	2012-01-01	2099-12-31	
2000005719	2000005475	Is a	2012-01-01	2099-12-31	
2000005720	2000005475	Is a	2012-01-01	2099-12-31	
2000005721	2000005475	Is a	2012-01-01	2099-12-31	
2000005722	2000005475	Is a	2012-01-01	2099-12-31	
2000005723	2000005475	Is a	2012-01-01	2099-12-31	
2000005724	2000005475	Is a	2012-01-01	2099-12-31	
2000005725	2000005475	Is a	2012-01-01	2099-12-31	
2000005726	2000005475	Is a	2012-01-01	2099-12-31	
2000005727	2000005475	Is a	2012-01-01	2099-12-31	
2000005728	2000005475	Is a	2012-01-01	2099-12-31	
2000005729	2000005475	Is a	2012-01-01	2099-12-31	
2000005730	2000005475	Is a	2012-01-01	2099-12-31	
2000005731	2000005475	Is a	2012-01-01	2099-12-31	
2000005732	2000005475	Is a	2012-01-01	2099-12-31	
2000005733	2000005475	Is a	2012-01-01	2099-12-31	
2000005734	2000005475	Is a	2012-01-01	2099-12-31	
2000005735	2000005475	Is a	2012-01-01	2099-12-31	
2000005736	2000005475	Is a	2012-01-01	2099-12-31	
2000005737	2000005475	Is a	2012-01-01	2099-12-31	
2000005738	2000005475	Is a	2012-01-01	2099-12-31	
2000005739	2000005475	Is a	2012-01-01	2099-12-31	
2000005740	2000005475	Is a	2012-01-01	2099-12-31	
2000005741	2000005475	Is a	2012-01-01	2099-12-31	
2000005742	2000005475	Is a	2012-01-01	2099-12-31	
2000005743	2000005475	Is a	2012-01-01	2099-12-31	
2000005744	2000005475	Is a	2012-01-01	2099-12-31	
2000005745	2000005475	Is a	2012-01-01	2099-12-31	
2000005746	2000005475	Is a	2012-01-01	2099-12-31	
2000005747	2000005475	Is a	2012-01-01	2099-12-31	
2000005748	2000005475	Is a	2012-01-01	2099-12-31	
2000005749	2000005475	Is a	2012-01-01	2099-12-31	
2000005750	2000005475	Is a	2012-01-01	2099-12-31	
2000005751	2000005475	Is a	2012-01-01	2099-12-31	
2000005752	2000005475	Is a	2012-01-01	2099-12-31	
2000005753	2000005475	Is a	2012-01-01	2099-12-31	
2000005754	2000005475	Is a	2012-01-01	2099-12-31	
2000005755	2000005475	Is a	2012-01-01	2099-12-31	
2000005756	2000005475	Is a	2012-01-01	2099-12-31	
2000005757	2000005475	Is a	2012-01-01	2099-12-31	
2000005758	2000005475	Is a	2012-01-01	2099-12-31	
2000005759	2000005475	Is a	2012-01-01	2099-12-31	
2000005760	2000005475	Is a	2012-01-01	2099-12-31	
2000005761	2000005475	Is a	2012-01-01	2099-12-31	
2000005762	2000005475	Is a	2012-01-01	2099-12-31	
2000005763	2000005475	Is a	2012-01-01	2099-12-31	
2000005764	2000005475	Is a	2012-01-01	2099-12-31	
2000005765	2000005475	Is a	2012-01-01	2099-12-31	
2000005766	2000005475	Is a	2012-01-01	2099-12-31	
2000005767	2000005475	Is a	2012-01-01	2099-12-31	
2000005768	2000005475	Is a	2012-01-01	2099-12-31	
2000005769	2000005475	Is a	2012-01-01	2099-12-31	
2000005770	2000005475	Is a	2012-01-01	2099-12-31	
2000005771	2000005475	Is a	2012-01-01	2099-12-31	
2000005772	2000005475	Is a	2012-01-01	2099-12-31	
2000005773	2000005475	Is a	2012-01-01	2099-12-31	
2000005774	2000005475	Is a	2012-01-01	2099-12-31	
2000005775	2000005475	Is a	2012-01-01	2099-12-31	
2000005776	2000005475	Is a	2012-01-01	2099-12-31	
2000005777	2000005475	Is a	2012-01-01	2099-12-31	
2000005778	2000005475	Is a	2012-01-01	2099-12-31	
2000005779	2000005475	Is a	2012-01-01	2099-12-31	
2000005780	2000005475	Is a	2012-01-01	2099-12-31	
2000005781	2000005475	Is a	2012-01-01	2099-12-31	
2000005782	2000005475	Is a	2012-01-01	2099-12-31	
2000005783	2000005475	Is a	2013-01-01	2099-12-31	
2000005784	2000005475	Is a	2013-01-01	2099-12-31	
2000005785	2000005475	Is a	2013-01-01	2099-12-31	
