concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
2000004688	2000004687	Is a	1970-01-01	2099-12-31	
2000004687	2000004688	Subsumes	1970-01-01	2099-12-31	
2000004689	2000004688	Is a	2014-01-01	2099-12-31	
2000004690	2000004688	Is a	2014-01-01	2099-12-31	
2000004691	2000004688	Is a	2005-01-01	2099-12-31	
2000004692	2000004688	Is a	2004-01-01	2099-12-31	
2000004693	2000004688	Is a	2010-01-01	2099-12-31	
2000004694	2000004688	Is a	2004-01-01	2099-12-31	
2000004695	2000004688	Is a	2005-01-01	2099-12-31	
2000004696	2000004688	Is a	2005-01-01	2099-12-31	
2000004697	2000004688	Is a	2005-01-01	2099-12-31	
2000004698	2000004688	Is a	2005-01-01	2099-12-31	
2000004699	2000004688	Is a	2008-01-01	2099-12-31	
2000004700	2000004688	Is a	2011-01-01	2099-12-31	
2000004701	2000004688	Is a	2005-01-01	2099-12-31	
2000004702	2000004688	Is a	2005-01-01	2099-12-31	
2000004703	2000004688	Is a	2005-01-01	2099-12-31	
2000004704	2000004688	Is a	2007-01-01	2099-12-31	
2000004705	2000004688	Is a	2005-01-01	2099-12-31	
2000004706	2000004688	Is a	2004-01-01	2099-12-31	
2000004707	2000004688	Is a	2005-01-01	2099-12-31	
2000004708	2000004688	Is a	2007-01-01	2099-12-31	
2000004709	2000004688	Is a	2005-01-01	2099-12-31	
2000004710	2000004688	Is a	2006-01-01	2099-12-31	
2000004711	2000004688	Is a	2005-01-01	2099-12-31	
2000004712	2000004688	Is a	2007-01-01	2099-12-31	
2000004713	2000004688	Is a	2005-01-01	2099-12-31	
2000004714	2000004688	Is a	2006-01-01	2099-12-31	
2000004715	2000004688	Is a	2011-01-01	2099-12-31	
2000004716	2000004688	Is a	2005-01-01	2099-12-31	
2000004717	2000004688	Is a	2004-01-01	2099-12-31	
2000004718	2000004688	Is a	2005-01-01	2099-12-31	
2000004719	2000004688	Is a	2017-01-01	2099-12-31	
2000011848	2000004688	Is a	2006-01-01	2016-12-31	D
2000004720	2000004688	Is a	2005-01-01	2099-12-31	
2000004721	2000004688	Is a	2004-01-01	2099-12-31	
2000004722	2000004688	Is a	2004-01-01	2099-12-31	
